#{"t_start": 1774518987.7821171, "env_id": "None"}
r,l,t
-325.55768,139,12976.49237
-416.40283,166,12977.638561
212.08496,84,12978.14726
-1102.2085,260,12979.462407
-1553.805,361,12979.462407
318.32935,127,12981.534422
336.04416,65,12983.960015
-72.89174,108,12985.649004
-202.99405,115,12987.340143
-898.8258,258,12991.582635
351.96533,45,12994.635427
230.64328,80,12995.443183
-606.0304,199,12995.925823
387.86017,61,12997.550805
137.33208,139,13000.833261
-641.3609,225,13001.239134
691.34106,75,13006.955553
-839.4221,230,13008.982062
-72.32506,16,13014.758619
316.69348,132,13015.198731
-960.38416,292,13015.673412
466.838,110,13015.673412
235.3778,69,13017.06873
-1497.0496,361,13024.919191
-1610.0549,361,13028.648099
-1251.8297,289,13031.05932
-1410.9541,336,13037.291545
174.25742,30,13039.300354
-1610.0505,361,13040.726206
-1785.5149,361,13042.987387
-1521.3546,361,13044.291764
426.313,119,13045.605419
-1367.0356,286,13046.533787
123.32785,163,13050.653965
-40.994743,17,13051.802922
-1500.9033,361,13055.237444
36.783966,118,13055.632624
-1625.4242,361,13057.736872
156.72293,99,13060.816155
-41.19703,12,13063.176303
-511.07977,211,13063.666465
91.45587,155,13065.07618
-1777.0177,361,13065.983914
70.54294,113,13068.733855
-1568.4888,361,13072.869132
230.33994,20,13074.683336
-484.69156,221,13075.882013
-60.064087,135,13077.249614
387.77463,42,13079.808307
-989.7118,328,13080.607404
-15.779114,125,13084.432154
-489.36243,206,13087.892278
-734.79395,234,13088.681265
-1526.0786,361,13090.680656
-842.43384,269,13092.297537
-696.27216,261,13093.467133
-352.59235,150,13096.19766
-1304.9398,287,13096.60481
112.16786,80,13096.995019
-738.1878,103,13098.569546
-0.49726105,33,13100.955709
184.19371,155,13106.061274
95.33128,92,13106.061274
-213.11964,163,13107.913155
4.8181915,30,13108.699762
421.85138,75,13109.118019
-1594.2361,361,13110.654694
-951.60315,254,13111.458544
-1221.7445,279,13116.058065
86.60272,22,13117.552181
-1367.983,361,13118.692405
198.80905,64,13121.407035
-1317.2979,337,13122.967839
301.48514,60,13124.154936
76.9153,124,13124.531712
-100.9238,211,13124.909017
61.012833,151,13125.674562
-900.536,341,13126.452051
-536.0592,269,13128.767718
-85.45715,124,13128.767718
-1759.0338,361,13129.187114
-63.56539,9,13129.187114
-1052.4358,351,13132.675468
-105.920685,30,13133.051109
35.376144,19,13136.552035
-49.30783,123,13139.971826
-432.32217,181,13144.171435
-411.02533,166,13148.717612
-1528.7386,321,13149.100355
-1314.2167,361,13149.491181
-93.332535,20,13151.883115
-88.57617,197,13151.883115
-103.32521,119,13151.883115
397.23624,61,13152.241845
-509.36426,167,13153.370491
582.17944,99,13154.116773
306.24564,77,13154.116773
-644.6787,232,13155.269506
244.74786,76,13155.648043
75.02661,115,13155.648043
481.13766,89,13159.06898
-1486.9832,361,13159.456033
-473.65344,166,13160.224857
119.59624,31,13163.766694
-1129.9077,331,13177.939435
-11.504303,119,13178.783259
-529.8981,159,13180.032693
-280.06332,43,13180.409855
131.45877,75,13180.792112
322.3188,76,13182.658525
-454.61508,187,13182.658525
-1779.5829,356,13185.421494
-983.17706,252,13188.101193
-239.20506,168,13188.853517
-1752.5848,361,13190.368253
225.9224,114,13192.641436
-202.25623,139,13193.406667
-1566.6334,361,13193.792299
-1378.6385,361,13194.917152
-1591.157,361,13198.269376
-161.93655,117,13199.034598
-575.2495,201,13200.259127
409.4436,56,13201.526658
437.84558,109,13201.526658
